,0
people,0.07682502015130281
partner,0.06099290657965674
company,0.1454002465965544
customer,0.08579628612846962
platform,0.0651115823557401
learn,0.04479063786421219
sit_down,0.014883088929744496
great,0.071769889945501
wonderful,0.020461583253781217
smarter,0.015102239448298157
focus,0.060383493423794024
build,0.07327590594856984
person,0.03949613523168792
director,0.29255404564543597
delegate,0.0084843184074604
audit_function,0.002275530126260271
assist,0.0558388118116149
joint,0.009457576315546608
support,0.0796663539055711
association,0.009484324806368336
success,0.05282731050365185
together_with,0.010596760728934227
serve,0.04654101308248341
best,0.07586548781590673
forefront,0.01748505161436794
responsibility,0.031200065329808513
seriously,0.023855102820926462
sincerely,0.01160709976857149
credentials,0.012015344791256453
discussion,0.07895524922512613
contact,0.05974797812998376
communication,0.018542332399416803
on_behalf_of,0.02413573688513626
engage,0.059813037710365384
assure,0.03286735712808968
hire,0.028332855601729125
critical,0.058889792485169054
consultative,0.004375922218102291
integrity,0.007997932415628085
journalism,0.0012048523635263375
honest,0.05773520002387416
instrumental,0.0021339795597718867
safety,0.013717824790289403
proud,0.03178569080373066
executive_team,0.0153582878856048
responsible,0.02751571525321697
passion,0.006854727825815491
safety_management,0.0012048523635263375
fantastic,0.03440847368908036
commit,0.053503387701574284
effort,0.043955708808541515
organization,0.0739179662169481
requirement,0.06020664000928711
advice,0.04510783067937871
management_people,0.0012048523635263375
efficient,0.050388967398060924
network,0.12525620804671006
enable,0.06416941805051093
conversation,0.04584594305913706
alliance,0.04728433365386571
alliance_partner,0.0032187197304112797
service,0.09791416255370186
deliver,0.09519313623539412
skill,0.02439056949507132
passionately,0.0012048523635263375
manager,0.022772732287373684
importantly,0.05082664858484827
young,0.01826964738770168
management,0.06965624055279629
deserve,0.010212309968734987
coaching,0.002851420345572902
mentore,0.0017977121557404031
executive,0.037439255751703954
team,0.08588549939069579
superb,0.003352445794453612
praise,0.004985502001208677
staff,0.06623480948534757
customer_relationship,0.03117368080538179
modern,0.021136311624479816
incredible,0.013222724884278846
culture,0.028696742676691176
reward,0.03318624212518547
talent,0.008466403612515805
esteem,0.0012048523635263375
brand,0.10551966086598447
expert,0.02642899496199319
relationship,0.09238060250353101
customer_base,0.04816634506856313
collaboration,0.010643617171536801
create,0.06800518211331776
interaction,0.015300172083301457
commitment,0.04931898522269902
reliability,0.01661896529374259
technological,0.0051395690715901506
simplify,0.04671110425795647
consistency,0.02372896996250071
product,0.10724959438925323
together,0.0590118820195029
customer_service,0.011596066436447807
ability,0.06432087166741175
freedom,0.009114528883156113
customer_satisfaction,0.03566737493479602
customer_need,0.007001405378750396
loyalty,0.016620819845280497
keen,0.03018695608667952
frustration,0.015557185003627783
nimble,0.011792267882231429
agile,0.008350050734477588
speed,0.0380532414865943
agility,0.004576657952772734
management_team,0.04997503862565841
genuinely,0.02766929846679885
convince,0.020413218225434765
honestly,0.011482902564030445
fun,0.004502394407756443
leadership_group,0.0012048523635263375
ceo,0.06790111475495736
diligent,0.0022708241324320157
tribute,0.0012048523635263375
efficiency,0.07068592651116845
collaborative,0.0024744527268839157
powerful,0.013357060548136493
productivity,0.06756151838570537
attract,0.052728803153163764
design,0.0365826676576034
successful,0.06629818572171778
differentiate,0.027891634903633094
involve,0.07617253194677234
delivery,0.04232798590289344
explore,0.021977832123149982
alliance_relationship,0.0024744527268839157
mission,0.004050187873186003
business_model,0.03413822132653887
collaboratively,0.006231152073973196
co-chair,0.01539981309679984
co-partner,0.0030799626193599686
partnership,0.06225455317517334
connectivity,0.014191123560318012
responsive,0.007604401574114
develop,0.0689735651189645
effectiveness,0.01625096807781896
distribution_partner,0.006902918527164858
business_people,0.0050865234565692
supply_chain,0.012542059516035296
align,0.06844041807244994
product_service,0.030843761201045813
client,0.0780379107816032
consultation,0.0366884290697442
resource,0.05052277625193685
collaborate,0.004890215002273176
infrastructure,0.0618335830276986
innovative,0.018654134225806827
creative,0.017636607477068078
transform,0.015940666280630744
execution,0.02535828460357539
supportive,0.04498709114740258
content,0.01268617833263051
seamless,0.013111768170011634
mantra,0.0038924141652643155
desire,0.02027997084035241
stand_up,0.01660469112390526
mindset,0.011071851784118932
arrogant,0.007878118539348127
operation_team,0.0024170835254294764
principle,0.045657286408924
union,0.007924724028353682
high-performance,0.0024170835254294764
engagement,0.031405717058735724
jointly,0.005175937446773634
quality,0.06925374117112572
high-value,0.012958175725621583
breadth,0.008960763361779691
conjunction,0.023376185149470544
cooperation,0.004367946987455956
ensure,0.07220715299666945
prudence,0.010272696470274876
excitement,0.014746800838152111
vision,0.018800707503582852
customer_experience,0.02535782925465057
clever,0.00923888922042752
smart,0.049307008353557426
intelligent,0.013364308462899563
solution,0.08031686937613
put_together,0.024613608603003715
recipe,0.00915704523398451
alignment,0.03343460254176766
sale_organization,0.00505993858894852
sale_team,0.01684419560725915
product_quality,0.00505993858894852
innovation,0.030000475816627334
interface,0.015874595007789746
training,0.018472996367767093
dedicated,0.00618578973006538
regulator,0.07904238373809341
service_quality,0.0062223569134366935
business_process,0.010528129253277528
truth,0.012656317535013405
efficiently,0.021980073302886056
train,0.011394276654294828
productive,0.022422351991391108
high-quality,0.030981271780748443
careful,0.04524611513489713
disciplined,0.03270187507590496
employee,0.03831015399264296
science,0.014408792005430226
leadership_team,0.005149420942383241
integrate,0.07335687025692031
product_development,0.012642161169823302
innovate,0.009650928354501188
integrated,0.013480602391678722
counsel,0.02015514787027366
comply,0.026534738673964456
ambassador,0.004817308578144537
tool,0.03460063391249055
best-of-breed,0.004817308578144537
conduct,0.05524876543243659
stakeholder,0.03593323410848103
proper,0.023429815612751367
passionate,0.006644894390356715
delight,0.007013138661808782
planner,0.01911955645894872
expertise,0.013792540874942494
onus,0.010601674082863317
assistance,0.01673932853875315
privilege,0.008232015736014675
capability,0.0713641348849664
specialized,0.015041918017623907
terrific,0.03349116481487407
beautiful,0.005987524101205028
motivate,0.003344925615905961
world-class,0.010773525756771716
supplier,0.03958624168636574
sponsor,0.005908711837689736
transparency,0.029593626652294473
technology,0.08673157909154877
loyal,0.009685708794805055
member,0.03322112617385354
senior,0.049115008253092694
community_leader,0.0013349660986465132
leader,0.021935379170478927
politician,0.010200694071508304
adhere,0.004625495769144927
executive_level,0.0012159887630131567
nurture,0.0024409714178363555
recruit,0.012326534367138969
risk_committee,0.005455101125879
branch_manager,0.0030657444505149127
experienced,0.011486769416769313
branch_staff,0.0020027453249542226
enhance,0.03030750090050128
risk_management,0.023525385132331718
reassure,0.01404020524391752
task_force,0.0016990361460007234
amazing,0.0072213753319991004
cutting-edge,0.0022003376519642848
privacy,0.001110651035392186
informed,0.0012159887630131567
adhering,0.002403259710140037
transformation,0.03792381636080785
shareholder_interest,0.0034126482305709706
reputation,0.021755206615051183
fairness,0.0074495315007005545
instruct,0.005790508300619692
banker,0.05116050852803891
honor,0.005043204530537585
ethical,0.006333105276724047
crime,0.013008649900787837
involvement,0.010291531531054433
transparent,0.028192598233557277
independently,0.009915198281559708
ethic,0.010980106775909042
advocate,0.02853640289944545
consumer_protection,0.0006079943815065783
staff_member,0.005311937736085919
trust,0.04116342802420884
boardroom,0.0023952275968697192
corruption,0.0012159887630131567
oversight,0.004971731887156387
knowledge,0.025619227795058375
succeed,0.006498380709027574
technology_requirement,0.0006079943815065783
society,0.004935498345633855
officer,0.00648610847700606
talented,0.004072069019989734
demonstration,0.008143257419236915
imperative,0.0006079943815065783
board_member,0.005926327753596965
compliance,0.03886520337183325
applaud,0.004463057523355064
aboriginal,0.001823983144519735
sympathetic,0.0006079943815065783
fabulous,0.009721919526959008
committee,0.01990380373537859
consultant,0.01655495201106253
governance,0.019376025388654485
government_agency,0.004857469002623309
information_technology,0.0017535457214818918
energetic,0.002652086118784633
respected,0.0020197317168699283
service_provider,0.008991792591394383
pragmatic,0.012217587638216816
dialogue,0.020650973120586724
harmonize,0.041789847681601974
control,0.0664339197325956
irresponsible,0.0076911237420326725
field,0.03858286654566106
relationship_manager,0.010078998838266375
service_delivery,0.007105403726735143
automation,0.025778256474831247
discipline,0.07124369692476741
optimize,0.04086775942715951
differentiation,0.018635210336104706
advisor,0.026061762883395772
responsibly,0.01782438401492161
product_capability,0.0072887916679426
coordinate,0.0021742557654527497
leadership,0.023183148032859816
customer_demand,0.017366017669351034
truly,0.019806505606863777
rigorous,0.01972474459345104
customer_value,0.004469604707067562
process_improvement,0.0029128559578786694
motivation,0.011077347105036437
workforce,0.015075513053275438
task,0.014202050260518103
management_board,0.003504126154281489
focused,0.011597284219198482
essential,0.017196012246043838
credible,0.018425048769553917
unique,0.030706072824710547
customer-focused,0.0033501681470650725
deepen_relationship,0.016777139100802797
accountable,0.01094224560502301
thoughtful,0.011641394046848798
merge,0.009017928518126408
unify,0.0014970070276704914
engineer,0.02047792582377926
credibility,0.009550571652366207
folk,0.02137193347649414
governance_issue,0.0034447960967155756
government_official,0.0034447960967155756
best-in-class,0.002782477758635402
strict,0.007420946028716023
integration,0.012429119451368952
relationship_management,0.0024689244589507523
service_level,0.01425085474209078
core_competence,0.0045990241135882345
investigate,0.011582031214128131
criticism,0.009869878749659357
utmost,0.0025400240646065923
honesty,0.0023312301134233463
accountability,0.012241553675160792
forthright,0.0006619687239884729
assurance,0.003266650380480557
fellow,0.008992188481216057
custodian,0.0026591277490775576
shareholder_community,0.0006619687239884729
customer_expectation,0.0006619687239884729
retrain,0.005338359127182734
profession,0.007664378049634749
police,0.0013239374479769458
facilitate,0.023139119337382795
compliment,0.01787983260833402
culturally,0.0006619687239884729
admire,0.0018412850765062582
adviser,0.026422361363917773
safeguard,0.002351599942404038
cooperate,0.0013821695639304598
pioneer,0.0006619687239884729
managing_director,0.0006619687239884729
brain_power,0.0006619687239884729
conflict,0.013890236704626547
system_support,0.0016683130854866497
organize,0.012684016980068226
invent,0.010279906276739255
competent,0.009087155409857071
coordination,0.005854020182352868
fiduciary,0.0016683130854866497
rewarding,0.004900642547318399
technology_team,0.0030169003216662755
reimagine,0.003668421451773635
operationalize,0.006104127837019112
exciting,0.026418774200174754
customer_engagement,0.002475561352657609
technology_solution,0.006536582801536491
engaging,0.002475561352657609
simplicity,0.009196564786034865
support_infrastructure,0.006569945086179491
cost_efficiency,0.006774731829896423
take_cost_out,0.006399057900558585
end-to-end,0.023010642603030974
product_innovation,0.008616097712611761
reengineer,0.022472023928815733
dna,0.004533019161628038
governance_structure,0.0027673741038766325
specialize,0.012114151212053878
uniqueness,0.001205641051523409
suitability,0.0010215294766374161
cadre,0.002372508807768734
train_they_up,0.0010215294766374161
stewardship,0.0010215294766374161
seriousness,0.0045699194985216384
embarrassment,0.0022511531202729015
reach_out,0.008160264940672922
harm,0.003543195616399777
customer_care,0.0015868618435186052
messaging,0.004752359449966121
enabler,0.005309999738201771
reproach,0.007406773376852257
personalized,0.014813546753704514
employee_engagement,0.02148342637194607
core_value,0.007406773376852257
product_offering,0.019384247433032267
executive_committee,0.009649466595349172
technology_architecture,0.004234145064185836
fulfillment,0.003940263113007839
sophistication,0.012739177047859164
validation,0.017318610780691208
service_offering,0.009764866804129508
analytic,0.0070113057514181315
embrace,0.017798318054086965
service_requirement,0.0022562078150803527
it_infrastructure,0.0032888041951789054
value_proposition,0.029075826343258344
market_need,0.0017080225468722669
resonate,0.009554352396844313
specialization,0.0038415906851443794
compelling,0.03157989447192855
capable,0.018790983741114032
customize,0.013473327283181142
on-site,0.0021790319457199786
specialist,0.013442662483074595
spirit,0.005013143948283894
state-of-the-art,0.005762403108686676
execution_capability,0.0033384318566204822
datum_analytic,0.004923150201352933
prescriptive,0.00699857833994958
excellence,0.004293943239670808
vendor,0.017195842311528216
level_playing_field,0.0023522575304945866
fruitful,0.003974011923581641
unbiased,0.00212272490938601
deliverable,0.00212272490938601
functionality,0.01979707322207009
scalable,0.010567612785465629
customization,0.0033877700423861332
technology_integration,0.0033877700423861332
technology_platform,0.008762970208456781
distinctive,0.005353360839328136
branding,0.008759320961631773
diligence,0.012102494169180907
appreciative,0.005294980997987685
democratic,0.01715979173643411
locally,0.02142172203518495
multi-channel,0.003597300090580588
service_culture,0.003597300090580588
sale_force,0.023320265317105366
bureaucratic,0.0026718824657310366
decision-maker,0.0026718824657310366
foundation,0.013913288516845979
knowledge_base,0.0026718824657310366
testament,0.0026718824657310366
interact,0.020080641161039324
service_proposition,0.013778805510675961
service_organization,0.0027906327975413046
service_standard,0.005581265595082609
architecture,0.0063016970486664825
faculty,0.0036836352927545222
quality_aspect,0.003290918963151747
brand_name,0.003290918963151747
customer_interaction,0.004111200103520672
world_class,0.0022334019832770773
hard-working,0.002824204464647396
customer-centric,0.0023785849931690847
thorough,0.014071277568820014
cost-effective,0.012331095907302336
advocacy,0.004357458821649171
project_team,0.003779849639539944
moral,0.004202347013630011
partnering,0.0036660708133608296
proven,0.008391956463320666
customer_requirement,0.001960075537116631
cultural,0.0083624316091131
formalize,0.005488595783798355
supervision,0.005101522148640456
empower,0.0026757641351727764
customer-facing,0.008111537441017743
technology_development,0.0061852326375603445
core_competency,0.00706120413971226
convincing,0.006173715433447776
constituency,0.0020077953993938168
standardize,0.003942184664263257
proprietor,0.002381660749625769
technology_perspective,0.00346640711363349
dedicate,0.010031891451988392
mutual,0.004796462938111876
faith,0.015325842178994856
misconduct,0.00220137567296087
university,0.0070481385354217154
core_strength,0.003934914339028738
work_force,0.002441649553306135
awareness,0.0075222363871701595
excel,0.002161012967869392
openness,0.0022912502454082023
ethically,0.0027553787927851315
entrepreneur,0.005542864410770605
brand_equity,0.0009184595975950438
unethical,0.0015472462795002979
thankful,0.0009184595975950438
adherence,0.0009184595975950438
authority,0.016203825003013983
decency,0.002536723534191295
workload,0.006406148653813099
industry_leadership,0.0009184595975950438
oversee,0.006573526031367537
satisfaction,0.004756862395647647
steward,0.0018724001826946064
high-caliber,0.0027072282896285073
world-leading,0.0027072282896285073
pride,0.0070233178779053815
technology_innovation,0.004106391596649922
caretaker,0.001958685905399427
money_laundering,0.0033354901683927828
bless,0.00196286072438074
full-time,0.007012767938505781
supervise,0.0022898686030384517
sharing,0.008670266209518988
intellectual,0.0032444200689471514
employer,0.005616419515388504
tailor,0.0023602960013377975
compliance_program,0.0023602960013377975
fact-based,0.0020336595285726108
service_people,0.003388373974555067
continuity,0.0016912926045704877
management_discipline,0.00212272490938601
supervisor,0.00212272490938601
core_responsibility,0.0018987810787394444
harness,0.0030797561125473147
competency,0.011970982258169366
service_capability,0.0037677448091832967
investment_community,0.003231259028732037
service_experience,0.013185700192202278
institutionalize,0.0022682483329769226
easy-to-use,0.004991375735439732
logistics,0.013149274225795945
salespeople,0.008181815803255357
customer_contact,0.0027272719344184518
pioneering,0.005183351725264337
heritage,0.005235364925274814
rigor,0.002537451056648801
constructively,0.004813279207755783
remuneration_committee,0.0026940287367780516
council,0.01962473425251033
project_management,0.002139989519415873
subcommittee,0.002139989519415873
decentralize,0.012185242971580459
autonomy,0.00872649286278684
designer,0.0026667243914728685
unanimously,0.01073862426905751
ministry,0.0023133840113535795
skill_set,0.0030859832109085637
training_program,0.0021952534521779035
candid,0.0037530636246996428
disrespect,0.002096150583889144
procurement_department,0.002096150583889144
competence,0.002096150583889144
skillset,0.0015043432995185907
federation,0.0015043432995185907
courage,0.001222118713960921
investment_team,0.0005466956504533277
operating_skill,0.0005466956504533277
building_capability,0.003080325711204249
attentive,0.0010933913009066555
scalability,0.002428197782182088
usability,0.0005466956504533277
end_user,0.0010933913009066555
development_partner,0.0005466956504533277
coalition,0.0005466956504533277
personality,0.0005466956504533277
symbiotic,0.008210182673301312
lieutenant,0.010028045261582184
amicable,0.010028045261582184
partnership_arrangement,0.0045892466271858666
wisdom,0.002074574441238654
scientist,0.0011022248033376787
policymaker,0.00823483141846977
innovator,0.0011022248033376787
enforce,0.0011022248033376787
business_team,0.0011022248033376787
confidentiality,0.0011022248033376787
unequivocal,0.004596882644868372
interoperate,0.004596882644868372
knowledgeable,0.004596882644868372
mutually,0.007154489815442265
market_requirement,0.01212744937395693
concert,0.006746584785264693
well-informed,0.0008507240860864948
customer_focus,0.0008507240860864948
client_experience,0.004562499231472376
servant,0.0008507240860864948
dishonest,0.0008507240860864948
workplace,0.0008507240860864948
mentoring,0.0008507240860864948
coach,0.0008507240860864948
demonize,0.0025521722582594847
partisan,0.0008507240860864948
mentor,0.0008507240860864948
teach,0.00293056765756937
inspire,0.0008507240860864948
relentless,0.0020381404840042728
invention,0.0008507240860864948
bank_manager,0.010845242856001322
management_philosophy,0.0023765388985513046
unite,0.0023422861123915998
guest,0.0016071707210970866
product_team,0.0016071707210970866
relationship_banker,0.0016071707210970866
empowerment,0.0016071707210970866
workflow,0.0016071707210970866
